RKS,comp,#,type,HIP,G2K,sample1,sample2,RA,DEC,map,sep,parallax,pmra,pmdec,Gmag,Bg-Rg,Bg,Rg,PA,DR2_ID,RA_RKS_DD,DEC_RKS_DD
RKS0017+1851,A,2,K*,HIP001389,G2K000029,33-40,eq,00:17:22.6,+18:51:34.1,AB,1.5897,26.163,529.913,-30.211,10.068,1.598,10.831,9.234,247.5,2797356523947979008,4.344167,18.859472
RKS0017+1125,-,1,K*,,G2K000030,40-50,eq,00:17:23.5,+11:25:21.1,......,........,20.231,-28.098,-319.433,10.985,1.643,11.787,10.144,.....,2755135213016983936,4.347917,11.422528
RKS0017-5957,-,1,K*,HIP001399,,40-50,so,00:17:30.5,-59:57:04.3,......,........,22.508,91.527,-74.630,10.649,1.890,11.598,9.708,.....,4905808544248368640,4.377083,-59.951194
RKS0017+1606,-,1,K*,,G2K000031,40-50,eq,00:17:33.6,+16:06:23.2,......,........,22.428,-41.642,-74.404,8.924,1.215,9.434,8.219,.....,2793374711306796544,4.390000,16.106444
RKS0017+2057,-,1,K*,,G2K000032,00-33,eq,00:17:59.2,+20:57:24.4,......,........,36.138,-252.015,-366.773,10.393,1.878,11.339,9.461,.....,2799371898696899328,4.496667,20.956778
RKS0018+2034,-,1,K*,,G2K000033,33-40,eq,00:18:15.6,+20:34:34.3,......,........,28.427,-70.503,-62.823,9.635,1.044,10.084,9.040,.....,2799341181090796544,4.565000,20.576194
RKS0018+3057,-,1,K*,,,00-33,no,00:18:20.9,+30:57:22.1,......,........,35.292,143.195,-171.111,8.492,1.179,9.022,7.843,.....,2860839993168687872,4.587083,30.956139
RKS0018-3704,-,1,K*,,,40-50,so,00:18:53.0,-37:04:49.8,......,........,21.801,46.439,98.894,11.172,1.787,12.076,10.289,.....,4998801114557820928,4.720833,-37.080500
RKS0019-0957,-,1,K*,HIP001532,G2K000034,00-33,eq,00:19:05.6,-09:57:53.4,......,........,49.512,-36.593,-301.435,9.312,1.700,10.146,8.446,.....,2428162410789155328,4.773333,-9.964833
RKS0019-0303,-,1,K*,HIP001539,G2K000035,00-33,eq,00:19:12.4,-03:03:13.0,......,........,32.065,-27.120,-217.827,10.279,1.771,11.159,9.388,.....,2541200830419126016,4.801667,-3.053611
RKS0019+4016,-,1,K*,,,40-50,no,00:19:56.1,+40:16:16.0,......,........,21.736,62.153,-107.900,9.883,1.290,10.474,9.185,.....,380331796583490816,4.983750,40.271111
RKS0020+7607,-,1,K*,,,40-50,no,00:20:05.3,+76:07:44.8,......,........,22.273,200.091,93.060,11.245,1.750,12.108,10.358,.....,539964662843809280,5.022083,76.129111
RKS0020+5428,-,1,K*,,,40-50,no,00:20:28.1,+54:28:59.6,......,........,20.024,205.326,-13.819,11.721,1.819,12.610,10.792,.....,419743069331907328,5.117083,54.483222
RKS0020+6740,A,2,K*,HIP001674,,33-40,no,00:20:57.1,+67:40:02.9,......,1.686,31.767,25.776,74.446,8.257,1.081,8.585,7.504,087.8,528767648745379200,5.237917,67.667472
RKS0020+1738,-,1,K*,,G2K000036,00-33,eq,00:20:57.2,+17:38:15.9,......,........,33.385,38.748,-82.710,10.516,1.888,11.466,9.578,.....,2794018509724590208,5.238333,17.637750
RKS0020+6740,B,-,K*,,,33-40,no,00:20:57.4,+67:40:02.9,......,1.686,31.781,22.935,74.298,8.575,1.053,8.932,7.878,087.8,528767648749309952,5.239167,67.667472
RKS0021+2531,-,1,K*,,G2K000037,00-33,eq,00:21:16.0,+25:31:27.3,......,........,35.577,50.958,9.547,9.161,1.299,9.761,8.462,.....,2855386174976559488,5.316667,25.524250
RKS0021-0025,-,1,K*,,G2K000038,40-50,eq,00:21:19.1,-00:25:38.2,......,........,21.005,-25.674,16.095,10.390,1.399,11.042,9.644,.....,2542241758692123392,5.329583,-0.427278
