main_name,plan_id,num_obs,objectname,ra_j2000,dec_j2000,epoch,airmass,shutter_ut_time_date,exptime,emavg,emnumsmp,snrem,decker,temp_chiron,pathfile,comments
BD+20 1790,464,1,BD+20 1790,07:24:54.78,20:22:18.1,2020.0,1.590,2020-02-21T01:35:01.176,1200.0,4.13,12000,26.981563127996512,slicer,23.534,/nfs/morgan/chiron/tous/mir7/fitspec/200220/achi200220.1135.fits,
BD-15 705,464,1,BD-15 705,04:03:13.56,-15:18:27.6,2020.0,1.296,2020-02-20T01:28:50.928,1200.0,3.87,12000,25.963957965406145,slicer,23.503,/nfs/morgan/chiron/tous/mir7/fitspec/200219/achi200219.1120.fits,
Barnards,465,6,Barnards,17:57:47.53,04:45:03.9,2000.0,1.240,2021-08-22T01:20:31.993,600.0,5.74,6000,21.607994766801745,fiber,23.046,/nfs/morgan/chiron/tous/mir7/fitspec/210821/achi210821.1128.fits,
 ,465, ,Barnards,17:57:48.07,04:45:29.7,2000.0,1.365,2022-05-10T05:45:41.863,1200.0,4.94,12000,29.93082534601627,slicer,23.152,/nfs/morgan/chiron/tous/mir7/fitspec/220509/achi220509.1157.fits,
 ,465, ,Barnards,17:57:48.40,04:45:26.7,2000.0,1.270,2022-05-10T06:26:17.141,1200.0,5.35,12000,31.31796916791541,slicer,23.149,/nfs/morgan/chiron/tous/mir7/fitspec/220509/achi220509.1159.fits,
 ,465, ,Barnards,17:57:48.20,04:45:28.1,2000.0,1.310,2022-05-10T06:05:59.499,1200.0,5.05,11999,30.307779271961426,slicer,23.155,/nfs/morgan/chiron/tous/mir7/fitspec/220509/achi220509.1158.fits,
 ,465, ,Barnards,17:57:47.31,04:45:04.5,2000.0,1.231,2021-08-22T01:10:27.511,600.0,5.87,5998,21.912829914684277,fiber,23.048,/nfs/morgan/chiron/tous/mir7/fitspec/210821/achi210821.1127.fits,
 ,465, ,Barnards,17:57:47.18,04:45:04.6,2000.0,1.224,2021-08-22T01:00:23.026,600.0,5.83,5998,21.81809026564821,fiber,23.044,/nfs/morgan/chiron/tous/mir7/fitspec/210821/achi210821.1126.fits,
CD-35 2722,464,1,CD-35 2722,06:10:01.46,-35:49:43.9,2020.0,1.006,2020-02-21T01:06:31.026,1500.0,3.08,14995,25.878886089594708,slicer,23.534,/nfs/morgan/chiron/tous/mir7/fitspec/200220/achi200220.1133.fits,
CD-48 4797,453,1,CD-48 4797,09:33:15.21,-48:48:41.4,2000.0,1.076,2018-02-27T02:52:37.930,1200.0,6.2,12000,34.01402088671169,fiber,23.35,/nfs/morgan/chiron/tous/mir7/fitspec/180226/achi180226.1128.fits,
DR20729-144248,464,2,DR20729-144248,07:29:00.55,-14:42:43.5,2000.0,1.041,2019-11-10T08:36:25.785,900.0,2.72,8995,17.1661468023145,slicer,23.244,/nfs/morgan/chiron/tous/mir7/fitspec/191109/achi191109.1187.fits,
 ,464, ,DR20729-144248,07:29:00.73,-14:42:55.0,2000.0,1.108,2019-03-28T01:20:52.703,900.0,3.73,9000,21.257513174794376,slicer,23.3,/nfs/morgan/chiron/tous/mir7/fitspec/190327/achi190327.1127.fits,
ECen,490,1,ECen,12:08:16.46,-48:41:47.5,2000.0,1.444,2019-06-14T03:10:20.400,130.103,645.64,1301,119.90542266108228,fiber,22.668,/nfs/morgan/chiron/tous/mir7/fitspec/190613/achi190613.1136.fits,
EG274_fluxcal,465,4,EG274_fluxcal,16:23:39.57,-39:13:40.9,2000.0,1.167,2019-05-18T07:51:03.149,900.0,6.43,9000,29.521276378837833,fiber,23.092,/nfs/morgan/chiron/tous/mir7/fitspec/190517/achi190517.1163.fits,
 ,465, ,EG274_fluxcal,16:23:38.94,-39:13:39.0,2000.0,1.086,2019-05-18T07:08:22.795,1200.0,5.39,12000,31.450024798368446,slicer,23.094,/nfs/morgan/chiron/tous/mir7/fitspec/190517/achi190517.1160.fits,
 ,465, ,EG274_fluxcal,16:23:39.09,-39:13:39.9,2000.0,1.120,2019-05-18T07:28:40.444,1200.0,5.19,12000,30.7840823274065,slicer,23.098,/nfs/morgan/chiron/tous/mir7/fitspec/190517/achi190517.1161.fits,
 ,465, ,EG274_fluxcal,16:23:39.86,-39:13:42.8,2000.0,1.206,2019-05-18T08:06:07.639,900.0,6.65,9000,30.094805788950094,fiber,23.093,/nfs/morgan/chiron/tous/mir7/fitspec/190517/achi190517.1164.fits,
